번호,HS부호,적용시작일자,적용종료일자,한글품목명,영문품목명,성질통합분류코드명
1,9030200000,20220101,20251231,오실로스코프(oscilloscope)와 오실로그래프(oscillograph),Oscilloscopes and oscillographs,(전자계측기)
2,8421292010,20170101,20251231,플루오르 중합체로 만든 것으로서 여과기 또는 청정기의 막 두께가 140마이크론 이하인 것,Of fluoropolymers and with filter or purifier membrane thickness not exceeding 140 microns,(액체 및 기체 여과기계)
3,8462221000,20220101,20251231,수치제어식,Numerically controlled,(금속성형가공기계)
4,8523210000,20130101,20251231,마그네틱 스트라이프(magnetic stripe)를 갖춘 카드(기록된 것인지에 상관없다),"Cards incorporating a magnetic stripe, whether or not recording",(기타 컴퓨터 주변기기)
5,2815300000,20220101,20251231,과산화나트륨이나 과산화칼륨,Peroxides of sodium or potassium,(무기화합물)
6,2001909010,20220101,20251231,쪽파,Green onions,(채소류가공품)
7,2941400000,20130101,20251231,"클로람페니콜과 그 유도체, 이들의 염",Chloramphenicol and its derivatives; salts thereof,(기타 의약품)
8,2309903010,20020101,20251231,항생물질을 주로 한 것,Chiefly on the basis of antibiotics,(사료)
9,8504229010,20170101,20251231,"용량이 650킬로볼트암페어 초과 1,000킬로볼트암페어 이하인 것","Having a power handling capacity exceeding 650 kVA but not exceeding 1,000 kVA",(유압식 변압기)
10,5507000000,20220101,20251231,재생ㆍ반(半)합성 스테이플섬유[카드(card)ㆍ코움(comb)이나 그 밖의 방적준비 처리를 한 것으로 한정한다],"Artificial staple fibres, carded, combed or otherwise processed for spinning.",(모든 재생·반합성섬유)
11,4810321000,20170101,20251231,카톤(carton)용 원지(화장품ㆍ의약품ㆍ담배의 포장용과 이와 유사한 것을 포함한다),"Folding carton stock(including cosmetic, pharmaceutic, cigarette case and the like)",(기타 종이제품)
12,4412314021,20170101,20251231,적어도 한쪽 외면의 플라이(ply)가 이류의 국내주 제1호의 열대산 목재인 것,With at least one outer ply of tropical wood specified in National Note 1 to this chapter,(합판)
13,8606100000,20130101,20251231,탱크차와 이와 유사한 차,Tank wagons and the like,(철도차량)
14,8522903000,20220101,20251231,자기헤드와 동 부분품,Magnetic head and its parts,(방송기기 부품)
15,9705210000,20220101,20251231,사람 표본과 그 일부분,Human specimens and parts thereof,(수집품 및 골동품)
16,3915909010,20220101,20251231,제조 당시 플라스틱 포장재의 것,Plastic packing materials before they became wastes,(기타 플라스틱제품)
17,8704239010,20130101,20251231,냉동차ㆍ냉장차,Freezer and refrigerator vehicles,(화물자동차)
18,6211431000,20130101,20251231,합성섬유로 만든 것,Of synthetic fibres,(직물제 의류)
19,9014801000,20250101,20251231,초음파 어군탐지기 ,Ultrasonic fish finders,(기타 계측기)
20,8704421020,20220101,20251231,중고차,Used,(화물자동차)
21,6213200000,20130101,20251231,면으로 만든 것,Of cotton,(기타 의류부속품)
22,1302199035,20170101,20251231,황기(黃芪) 추출물,"Astragali Radix Extract (Astragalus membranaceus, Astragalus mongholicus)",(기타 식물성 원료 및 연료)
23,8406813000,20020101,20251231,출력이 300메가와트를 초과하는 것,Of an output exceeding 300 MW,(증기터빈)
24,6814100000,20130101,20251231,판ㆍ시트(sheet)ㆍ스트립(strip)(응결시키거나 재생한 운모의 것으로 한정하며 지지물에 부착한 것인지에 상관없다),"Plates, sheets and strips of agglomerated or reconstituted mica, whether or not on a support",(기타 비(非)금속광물제품)
25,3004209100,20020101,20251231,클로람페니콜제제,Preparations containing chloramphenicol,(기타 의약품)
26,1507901010,20170101,20251231,식품용,For food ,(대두유)
27,4407122010,20220101,20251231,방부처리한 것,Preservative treated,(제재목)
28,4202913000,20130101,20251231,페이턴트 레더로 만든 것,Of patent leather,(가죽제 가방)
29,6101301000,20130101,20251231,합성섬유로 만든 것,Of synthetic fibres,(편물제 의류)
30,9305101050,20130101,20251231,탄알집과 그 부분품,Magazines and parts thereof,(무기 및 총포탄)
31,6105100000,20130101,20251231,면으로 만든 것,Of cotton,(편물제 의류)
32,8466940000,20130101,20251231,제8462호나 제8463호의 기계용,For machines of heading 84.62 or 84.63,(가공공작기계 부품)
33,1602201000,20020101,20251231,밀폐용기에 넣은 것,In airtight containers,(축산물 가공품)
34,7607201000,20130101,20251231,알루미늄의 함유량이 전 중량의 100분의 99.99 이상인 것,Containing not less than 99.99 % by weight of aluminium,(알루미늄)
35,8524915000,20220101,20251231,전기식 시각 신호용 기기(제8531호의 것으로 한정한다)용,For electric visual signalling appratus of heading 85.31,(기타 전기기계 부품)
36,1512112000,20020101,20251231,잇꽃유,Safflower oil,(기타 식물성 유지)
37,3701911000,20130101,20251231,반도체 제조용,For making semiconductor,(사진용화합물)
38,2937902910,20130101,20251231,소호 제2922.50호의 것,Of subheading 2922.50,(기타 의약품)
39,8514193000,20220101,20251231,식품공업용,For food industry,(기타 일반기계)
40,8504405010,20220101,20251231,"자동자료처리기계와 그 단위기기(제8471호, 제8443.31호, 제8443.32호, 제8528.42호, 제8528.52호, 제8528.62호)의 것 및 전기통신용 기기의 것","For automatic data processing machines and units of heading 84.71 or of subheadings 8443.31, 8443.32, 8528.42, 8528.52 or 8528.62, and telecommunication apparatus",(변환기)
41,7003121000,20170101,20251231,두께가 2밀리미터 이하인 것,Not more than 2 ㎜ in thickness,(유리 및 유리제품)
42,3006302000,20130101,20251231,진단용 시약(환자 투여용),Diagnostic reagents (designed to be administered to the patient),(의료위생용품)
43,3915901000,20130101,20251231,프로필렌의 중합체로 만든 것,Of polymers of propylene,(기타 플라스틱제품)
44,8807901000,20220101,20251231,글라이더나 행글라이더의 것,Of gliders and hang gliders,(기타 항공기 부품)
45,8421192000,20130101,20251231,식품공업용,For food industry use,(기타 일반기계)
46,5515111000,20130101,20251231,표백하지 않은 것이나 표백한 것,Unbleached or bleached,(합성단섬유 직물)
47,1008100000,20020101,20251231,메밀,Buckwheat,(밀)
48,4403241000,20220101,20251231,전나무[아비에스(Abies)속],Fir (Abies spp.),(원목)
49,2922172000,20170101,20251231,에틸디에탄올아민,Ethyldiethanolamine,(유기화합물)
50,8432901000,20020101,20251231,플라우(쟁기)의 것,Of ploughs,(농기계 부품)
51,2934101000,20130101,20251231,아미노티아졸과 그 유도체,Aminothiazole and its derivative,(유기화합물)
52,2710209753,20120101,20251231,열처리유,Heat treating oil,(윤활유)
53,8486302060,20220101,20251231,스트리핑하거나 세척하는 기기,Apparatus for stripping or cleaning,(디스플레이패널제조용장비)
54,3503003000,20130101,20251231,그 밖의 동물성 글루(glue),Other glues of animal origin,(기타 식물성 원료 및 연료)
55,6502000000,20130101,20251231,"모체(hat-shape)[각종 재료로 만든 스트립(strip)을 엮거나 결합하여 만든 것으로서 미성형인 것, 차양을 붙이지 않은 것, 안을 대지 않거나 장식하지 않은 것으로 한정한다]","Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed.",(기타 의류부속품)
56,3827610000,20220101,20251231,"1,1,1-트리플루오로에탄(HFC-143a)을 질량 기준으로 15% 이상 함유한 것","Containing 15 % or more by mass of 1,1,1-trifluoroethane (HFC- 143a)",(기타 화학공업제품)
57,8443192000,20220101,20251231,"그 밖의 직물, 가죽, 벽지, 포장지, 리놀륨 등의 재료에 동일한 모양이나 문자를 반복하여 인쇄하거나 지색을 인쇄하는 인쇄기","Other printing machines of a type used for printing a repetitive design, repetitive words or overall colour on textiles, leather, wallpaper, wrapping paper, linoleum or other materials",(인쇄기계)
58,9302009010,20130101,20251231,리볼버(revolver),Revolvers,(무기 및 총포탄)
59,2909304000,20020101,20251231,앰브렛 머스크,Ambrette musk,(유기화합물)
60,3802903000,20220101,20251231,활성토,Activated clays and activated earths,(기타 화학공업제품)
61,6406201000,20020101,20251231,바깥바닥,Outer soles,(신발류)
62,8545901000,20130101,20251231,탄소봉,Carbon rod,(기타 IT부품)
63,4811902010,20020101,20251231,셀룰로오스워딩,Cellulose wadding,(기타 종이제품)
64,8201100000,20130101,20251231,가래와 삽,Spades and shovels,(수공구)
65,8509803000,20070101,20251231,바닥광택기,Floor polishers,(기타 가전제품)
66,3305200000,20130101,20251231,퍼머넌트 웨이빙(permanent waving)용이나 스트레이트닝(straightening)용 제품류,Preparations for permanent waving or straightening,(기타 헤어제품)
67,2833402000,20020101,20251231,과황산나트륨,Disodium peroxodisulphate,(무기화합물)
68,8419899040,20020101,20251231,응축기,Condensing plant and machinery,(화학기계)
69,3701999200,20130101,20251231,인쇄회로기판용,For printed circuit board,(사진용화합물)
70,2104101000,20130101,20251231,육류로 만든 것,Of meat,(기타 조제식료품)
71,1905901020,20220101,20251231,건빵,Ship's biscuits,(베이커리류)
72,8512300000,20020101,20251231,음향신호용 기구,Sound signalling equipment,(자동차 부품)
73,8415102020,20220101,20251231,소비전력이 11킬로와트 이상인 것,Of power consumption not less than 11 kW,(공기조절기)
74,5606001000,20130101,20251231,짐프사(Gimped yarn),Gimped yarn,(기타 섬유사)
75,3702561000,20220101,20251231,영화필름,Cinematographic film,(사진용화합물)
76,2917140000,20020101,20251231,무수말레산,Maleic anhydride,(유기화합물)
77,3301904520,20130101,20251231,홍삼에서 추출한 것,Of red ginseng,(인삼음료)
78,7301101000,20130101,20251231,유(U)형,U type,(봉·형강)
79,1404200000,20130101,20251231,면(綿) 린터(linter),Cotton linters,(기타 식물성 원료 및 연료)
80,8451402000,20020101,20251231,표백기,Bleaching machines,(섬유기계)
81,6114302000,20130101,20251231,재생ㆍ반(半)합성 섬유로 만든 것,Of artificial fibres,(편물제 의류)
82,1108200000,20130101,20251231,이눌린(inulin),Inulin,(기타 제분 생산품)
83,2008800000,20120101,20251231,초본류 딸기,Strawberries,(과실류 가공품)
84,2917132000,20130101,20251231,"세바스산, 그 염과 에스테르","Sebacic acid, its salts and esters",(유기화합물)
85,7019710000,20220101,20251231,베일(얇은 시트),Veils (thin sheets),(유리 및 유리제품)
86,6112310000,20130101,20251231,합성섬유로 만든 것,Of synthetic fibres,(편물제 의류)
87,2006003000,20020101,20251231,생강,Ginger,(채소류가공품)
88,5301210000,20130101,20251231,줄기를 으깨거나(broken) 두드린(scutched) 것,Broken or scutched,(마)
89,4408909195,20090101,20251231,참나무,Oak,(단판)
90,2940001010,20020101,20251231,갈락토오스,Galactose,(유기화합물)
91,8425410000,20130101,20251231,차고용 고정식 재킹시스템(jacking system),Built-in jacking systems of a type used in garages,(운반하역기계)
92,3812101000,20130101,20251231,디페닐구아니딘을 기본 재료로 한 것,Based on diphenylguanidine,(기타 정밀화학제품)
93,2918152000,20020101,20251231,시트르산의 에스테르,Esters of citric acid,(유기화합물)
94,6702100000,20130101,20251231,플라스틱으로 만든 것,Of plastics,(기타 내구소비재)
95,2832200000,20220101,20251231,그 밖의 아황산염,Other sulphites,(무기화합물)
96,7608100000,20130101,20251231,합금하지 않은 알루미늄으로 만든 것,"Of aluminium, not alloyed",(알루미늄)
97,8483409040,20220101,20251231,롤러 스크루,Roller screws,(기타 기계요소)
98,8601200000,20020101,20251231,축전지로 주행하는 것,Powered by electric accumulators,(철도차량)
99,8528712020,20220101,20251231,쌍방향 커뮤니케이션 기능을 갖춘 것,With a bilateral-communication function,(방송기기)
100,8212900000,20130101,20251231,그 밖의 부분품,Other parts,(가사용구)